"periods","ave_time","pm_start_date","prop_time"
"B",44.4341017992654,2022-03-01,0.173577828552685
"C",43.8036110684346,2022-03-01,0.171114873129965
"D",19.1314878608959,2022-03-01,0.074735439345176
"A",67.0203007518797,2022-03-01,0.261808786548972
"a",81.6,2022-03-01,0.318763072423201
"B",44.4341017992654,2022-02-01,0.173577828552685
"C",43.8036110684346,2022-02-01,0.171114873129965
"D",19.1314878608959,2022-02-01,0.074735439345176
"A",67.0203007518797,2022-02-01,0.261808786548972
"a",81.6,2022-02-01,0.318763072423201
"B",44.4341017992654,2022-01-01,0.173577828552685
"C",43.8036110684346,2022-01-01,0.171114873129965
"D",19.1314878608959,2022-01-01,0.074735439345176
"A",67.0203007518797,2022-01-01,0.261808786548972
"a",81.6,2022-01-01,0.318763072423201
"B",44.4341017992654,2021-12-01,0.173577828552685
"C",43.8036110684346,2021-12-01,0.171114873129965
"D",19.1314878608959,2021-12-01,0.074735439345176
"A",67.0203007518797,2021-12-01,0.261808786548972
"a",81.6,2021-12-01,0.318763072423201
"B",44.4341017992654,2021-11-01,0.15869917109147
"C",43.8036110684346,2021-11-01,0.156447334049377
"D",19.1314878608959,2021-11-01,0.0683293043479703
"A",67.0203007518797,2021-11-01,0.239367191975065
"a",105.6,2021-11-01,0.377156998536118
"B",44.4341017992654,2021-10-01,0.15869917109147
"C",43.8036110684346,2021-10-01,0.156447334049377
"D",19.1314878608959,2021-10-01,0.0683293043479703
"A",67.0203007518797,2021-10-01,0.239367191975065
"a",105.6,2021-10-01,0.377156998536118
"B",44.4341017992654,2021-09-01,0.15869917109147
"C",43.8036110684346,2021-09-01,0.156447334049377
"D",19.1314878608959,2021-09-01,0.0683293043479703
"A",67.0203007518797,2021-09-01,0.239367191975065
"a",105.6,2021-09-01,0.377156998536118
"B",44.4341017992654,2021-08-01,0.15869917109147
"C",43.8036110684346,2021-08-01,0.156447334049377
"D",19.1314878608959,2021-08-01,0.0683293043479703
"A",67.0203007518797,2021-08-01,0.239367191975065
"a",105.6,2021-08-01,0.377156998536118
"B",44.4341017992654,2021-07-01,0.15869917109147
"C",43.8036110684346,2021-07-01,0.156447334049377
"D",19.1314878608959,2021-07-01,0.0683293043479703
"A",67.0203007518797,2021-07-01,0.239367191975065
"a",105.6,2021-07-01,0.377156998536118
"B",44.4341017992654,2021-06-01,0.15093643481105
"C",43.8036110684346,2021-06-01,0.148794745900066
"D",19.1314878608959,2021-06-01,0.0649869909242152
"A",67.0203007518797,2021-06-01,0.227658596569635
"a",120,2021-06-01,0.407623231795033
"B",44.4341017992654,2021-05-01,0.15093643481105
"C",43.8036110684346,2021-05-01,0.148794745900066
"D",19.1314878608959,2021-05-01,0.0649869909242152
"A",67.0203007518797,2021-05-01,0.227658596569635
"a",120,2021-05-01,0.407623231795033
"B",44.4341017992654,2021-04-01,0.15093643481105
"C",43.8036110684346,2021-04-01,0.148794745900066
"D",19.1314878608959,2021-04-01,0.0649869909242152
"A",67.0203007518797,2021-04-01,0.227658596569635
"a",120,2021-04-01,0.407623231795033
"B",44.4341017992654,2021-03-01,0.15093643481105
"C",43.8036110684346,2021-03-01,0.148794745900066
"D",19.1314878608959,2021-03-01,0.0649869909242152
"A",67.0203007518797,2021-03-01,0.227658596569635
"a",120,2021-03-01,0.407623231795033
"B",44.4341017992654,2021-02-01,0.15093643481105
"C",43.8036110684346,2021-02-01,0.148794745900066
"D",19.1314878608959,2021-02-01,0.0649869909242152
"A",67.0203007518797,2021-02-01,0.227658596569635
"a",120,2021-02-01,0.407623231795033
"B",44.4341017992654,2021-01-01,0.15093643481105
"C",43.8036110684346,2021-01-01,0.148794745900066
"D",19.1314878608959,2021-01-01,0.0649869909242152
"A",67.0203007518797,2021-01-01,0.227658596569635
"a",120,2021-01-01,0.407623231795033
"B",44.4341017992654,2020-12-01,0.134490053709807
"C",43.8036110684346,2020-12-01,0.132581728148596
"D",19.1314878608959,2020-12-01,0.0579058589185422
"A",67.0203007518797,2020-12-01,0.202852392256902
"a",156,2020-12-01,0.472169966966153
"B",44.4341017992654,2020-11-01,0.134490053709807
"C",43.8036110684346,2020-11-01,0.132581728148596
"D",19.1314878608959,2020-11-01,0.0579058589185422
"A",67.0203007518797,2020-11-01,0.202852392256902
"a",156,2020-11-01,0.472169966966153
"B",44.4341017992654,2020-10-01,0.134490053709807
"C",43.8036110684346,2020-10-01,0.132581728148596
"D",19.1314878608959,2020-10-01,0.0579058589185422
"A",67.0203007518797,2020-10-01,0.202852392256902
"a",156,2020-10-01,0.472169966966153
"B",44.4341017992654,2020-09-01,0.134490053709807
"C",43.8036110684346,2020-09-01,0.132581728148596
"D",19.1314878608959,2020-09-01,0.0579058589185422
"A",67.0203007518797,2020-09-01,0.202852392256902
"a",156,2020-09-01,0.472169966966153
"B",44.4341017992654,2020-08-01,0.134490053709807
"C",43.8036110684346,2020-08-01,0.132581728148596
"D",19.1314878608959,2020-08-01,0.0579058589185422
"A",67.0203007518797,2020-08-01,0.202852392256902
"a",156,2020-08-01,0.472169966966153
"B",44.4341017992654,2020-07-01,0.134490053709807
"C",43.8036110684346,2020-07-01,0.132581728148596
"D",19.1314878608959,2020-07-01,0.0579058589185422
"A",67.0203007518797,2020-07-01,0.202852392256902
"a",156,2020-07-01,0.472169966966153
"B",44.4341017992654,2020-06-01,0.134490053709807
"C",43.8036110684346,2020-06-01,0.132581728148596
"D",19.1314878608959,2020-06-01,0.0579058589185422
"A",67.0203007518797,2020-06-01,0.202852392256902
"a",156,2020-06-01,0.472169966966153
"B",44.4341017992654,2020-05-01,0.134490053709807
"C",43.8036110684346,2020-05-01,0.132581728148596
"D",19.1314878608959,2020-05-01,0.0579058589185422
"A",67.0203007518797,2020-05-01,0.202852392256902
"a",156,2020-05-01,0.472169966966153
"B",44.4341017992654,2020-04-01,0.134490053709807
"C",43.8036110684346,2020-04-01,0.132581728148596
"D",19.1314878608959,2020-04-01,0.0579058589185422
"A",67.0203007518797,2020-04-01,0.202852392256902
"a",156,2020-04-01,0.472169966966153
"B",44.4341017992654,2020-03-01,0.134490053709807
"C",43.8036110684346,2020-03-01,0.132581728148596
"D",19.1314878608959,2020-03-01,0.0579058589185422
"A",67.0203007518797,2020-03-01,0.202852392256902
"a",156,2020-03-01,0.472169966966153
"B",44.4341017992654,2020-02-01,0.134490053709807
"C",43.8036110684346,2020-02-01,0.132581728148596
"D",19.1314878608959,2020-02-01,0.0579058589185422
"A",67.0203007518797,2020-02-01,0.202852392256902
"a",156,2020-02-01,0.472169966966153
"B",44.4341017992654,2020-01-01,0.134490053709807
"C",43.8036110684346,2020-01-01,0.132581728148596
"D",19.1314878608959,2020-01-01,0.0579058589185422
"A",67.0203007518797,2020-01-01,0.202852392256902
"a",156,2020-01-01,0.472169966966153
