,source,pm_start_date,pm_end_date,cases_assigned_count,cases_interviewed_count,cases_interviewed_perc,cases_named_contacts_count,cases_not_assigned_count,cases_per_staff_month,cases_positive_from_test_mean,cases_positive_from_test_med,cases_reached_count,cases_reached_from_exposure_mean,cases_reached_from_positive_max,cases_reached_from_positive_med,cases_reached_from_symptom_mean,cases_reached_from_symptom_med,cases_reached_from_test_mean,cases_reached_from_test_med,cases_reached_perc,cases_were_contacts_count,contacts_assigned_count,contacts_infected_count,contacts_infected_perc,contacts_interviewed_count,contacts_interviewed_perc,contacts_named_count,contacts_named_count_household,contacts_named_perc,contacts_named_perc_household,contacts_named_ratio_mean,contacts_named_ratio_mean_cases_naming,contacts_named_ratio_mean_household,contacts_named_ratio_med,contacts_per_staff_month,contacts_reached_count,contacts_reached_from_exposure_mean,contacts_reached_from_exposure_med,contacts_reached_from_named_mean,contacts_reached_from_named_med,contacts_reached_from_symptom_med,contacts_reached_from_test_mean,contacts_reached_from_test_med,contacts_reached_perc,contacts_tested_count,hd_cases_interviewed_perc_hdcount,hd_cases_interviewed_perc_mean,hd_cases_interviewed_perc_med,hd_cases_positive_from_test_mean_hdcount,hd_cases_positive_from_test_mean_mean,hd_cases_positive_from_test_mean_med,hd_cases_reached_from_test_mean_hdcount,hd_cases_reached_from_test_mean_mean,hd_cases_reached_from_test_mean_med,hd_cases_was_contacts_perc_hdcount,hd_cases_was_contacts_perc_mean,hd_cases_was_contacts_perc_med,hd_contacts_named_ratio_mean_cases_naming_hdcount,hd_contacts_named_ratio_mean_cases_naming_mean,hd_contacts_named_ratio_mean_cases_naming_med,hd_contacts_named_ratio_mean_hdcount,hd_contacts_named_ratio_mean_mean,hd_contacts_named_ratio_mean_med,hd_contacts_reached_from_named_mean_hdcount,hd_contacts_reached_from_named_mean_mean,hd_contacts_reached_from_named_mean_med,hd_contacts_reached_perc_hdcount,hd_contacts_reached_perc_mean,hd_contacts_reached_perc_med,hd_contacts_test_from_notified_hdcount,hd_contacts_test_from_notified_mean,hd_contacts_test_from_notified_med,hd_percent_naming_contcts_hdcount,hd_percent_naming_contcts_mean,hd_percent_naming_contcts_med,hr_hours,monetary_cost,notifications_sent_count,num_users_count,num_users_upper_bound,percent_naming_contacts,quarantine_adherent_perc,staff_hired_ci_count,staff_hired_ci_per_health_dept_mean,staff_hired_count,staff_hired_ct_count,staff_hired_ct_per_health_dept_mean,user_cases_notifying,users_with_code
34,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-04-01,2021-05-01,2046549.0,1138136.0,,527953.0,,71.0,,,,,,,,,,,,128536.0,,,,,,1439418.0,,,,,,,,78.0,940863.0,,,,,,,,,263113.0,54.0,60.2,65.6,54.0,38.4,24.0,52.0,31.2,24.0,47.0,8.3,4.3,50.0,2.7,2.7,53.0,1.4,1.1,50.0,,,50.0,62.7,64.4,42.0,30.3,24.1,51.0,52.9,51.6,,,,,,,,42009.0,778.0,,42095.0,765.0,,
35,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-05-01,2021-06-01,1107656.0,615707.0,,301459.0,,56.0,,,,,,,,,,,,96158.0,,,,,,932612.0,,,,,,,,64.0,597910.0,,,,,,,,,148570.0,53.0,61.8,65.1,53.0,38.4,24.0,51.0,26.4,24.0,47.0,9.3,5.1,49.0,2.9,2.7,52.0,1.6,1.4,49.0,,,48.0,58.3,61.5,41.0,27.5,20.5,49.0,54.1,54.9,,,,,,,,32989.0,622.0,,33662.0,623.0,,
36,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-06-01,2021-07-01,444318.0,217527.0,,103606.0,,32.0,,,,,,,,,,,,31977.0,,,,,,271626.0,,,,,,,,34.0,206171.0,,,,,,,,,48560.0,53.0,61.6,66.5,52.0,33.6,24.0,51.0,26.4,24.0,47.0,8.1,4.7,49.0,2.8,2.7,52.0,1.5,1.4,48.0,,,48.0,66.9,68.7,41.0,30.3,24.0,50.0,54.8,56.3,,,,,,,,26393.0,498.0,,29628.0,549.0,,
37,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-07-01,2021-08-01,1241487.0,526305.0,,219091.0,,66.0,,,,,,,,,,,,70464.0,,,,,,423420.0,,,,,,,,52.0,285002.0,,,,,,,,,90138.0,53.0,58.5,62.9,51.0,33.6,24.0,51.0,31.2,24.0,49.0,9.8,5.6,49.0,2.4,2.6,52.0,1.2,1.0,48.0,,,47.0,55.6,60.3,42.0,33.1,26.0,49.0,50.8,55.0,,,,,,,,26288.0,487.0,,23383.0,425.0,,
38,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-08-01,2021-09-01,4046250.0,1265108.0,,523605.0,,208.0,,,,,,,,,,,,176781.0,,,,,,1200506.0,,,,,,,,108.0,735357.0,,,,,,,,,240374.0,53.0,46.1,46.0,52.0,38.4,24.0,52.0,40.8,24.0,50.0,6.5,2.4,50.0,2.5,2.6,52.0,1.1,1.0,50.0,,,48.0,53.6,52.9,44.0,35.0,24.4,51.0,46.9,47.0,,,,,,,,28578.0,539.0,,23967.0,444.0,,
39,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-09-01,2021-10-01,4363750.0,1318087.0,,527769.0,,242.0,,,,,,,,,,,,157856.0,,,,,,1438075.0,,,,,,,,110.0,838427.0,,,,,,,,,260207.0,54.0,44.0,39.5,54.0,40.8,48.0,53.0,40.8,24.0,51.0,6.4,3.7,50.0,2.9,2.7,53.0,1.3,1.1,50.0,,,48.0,51.1,49.9,46.0,35.6,23.7,51.0,45.1,47.2,,,,,,,,29657.0,570.0,,25213.0,467.0,,
40,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-10-01,2021-11-01,2266428.0,964733.0,,393275.0,,124.0,,,,,,,,,,,,122715.0,,,,,,1002462.0,,,,,,,,85.0,605614.0,,,,,,,,,217747.0,52.0,50.3,48.0,53.0,40.8,43.2,52.0,36.0,24.0,49.0,7.6,4.6,47.0,2.7,2.6,50.0,1.2,,48.0,,,44.0,54.0,53.4,40.0,31.1,19.7,49.0,43.5,45.0,,,,,,,,30094.0,568.0,,24437.0,453.0,,
41,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-11-01,2021-12-01,2163555.0,922639.0,,383810.0,,117.0,,,,,,,,,,,,148126.0,,,,,,944930.0,,,,,,,,67.0,498195.0,,,,,,,,,216154.0,47.0,52.0,51.3,48.0,33.6,24.0,47.0,38.4,24.0,44.0,8.2,2.7,43.0,2.5,2.4,46.0,1.0,,43.0,,,38.0,52.3,56.5,36.0,33.7,27.4,45.0,43.9,44.4,,,,,,,,26868.0,560.0,,22292.0,455.0,,
42,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",2021-12-01,2022-01-01,5897346.0,1569451.0,,585350.0,,266.0,,,,,,,,,,,,179402.0,,,,,,1406794.0,,,,,,,,98.0,754314.0,,,,,,,,,249420.0,50.0,32.4,25.9,50.0,36.0,24.0,50.0,45.6,24.0,49.0,3.1,1.7,48.0,2.5,2.4,50.0,,,47.0,,,44.0,46.0,40.9,39.0,36.1,27.3,48.0,38.8,32.6,,,,,,,,31720.0,634.0,,23997.0,471.0,,
43,Centering Health Equity Within COVID-19 Contact Tracing: Connecticut's Community Outreach Specialist Program.,03/23/2021,05/31/2021,43116.0,,,,,,,,24973.0,,,,,,,,,,12198.0,,,,,,,,,,,,,,7949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Centralized COVID-19 Contact Tracing in a Home-Rule State.,06/01/2020,06/31/2021,,,,,,,,,,,,,,,,,,,432218.0,20367.0,,269439.0,,,,,,,,,,,,,,,,,,,,108837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Community-Based Workforce for COVID-19 Contact Tracing and Prevention Activities in New York City, July-December 2020.",07/09/2020,12/31/2020,94704.0,55592.0,,,,,,,84230.0,,,,,,,,,,61246.0,,,35005.0,,,,,,,,,,,49303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Contact tracing reveals community transmission of COVID-19 in New York City.,10/01/2020,05/10/2021,,,,,,,,,644029.0,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Contact tracing: Characteristics of COVID-19 cases that provided contacts.,02/01/2021,11/30/2021,,550850.0,,,,,,,,,,,,,,,,,,,,,,316645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,,,,,,,
48,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",03/01/2020,05/31/2020,184.0,,,,,,,,,,,,,168.0,,48.0,,,,285.0,,,,1499.0,,,,374.0,,,,,1307.0,,96.0,,0.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,29234.0,,,,,,,,,,,,
49,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",03/11/2020,05/25/2020,9762.0,6527.0,,1137.0,,,,,,,,,,,,192.0,,,,4.0,,882.0,,2834.0,,,,,2.5,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Defining Key Performance Indicators for the California COVID-19 Exposure Notification System (CA Notify).,12/10/2020,07/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,110497.0,,,,,,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10910971.0,,,,,,,,,68107.0,446643.0
51,Digital Point Solutions for Extending Contact Tracing Capacity.,03/15/2021,04/13/2021,21540.0,,,,74869.0,,,,,,,,,,,,,,,,,,,18700.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227887.0,,21540.0,,44.0,,,,,,,,
52,Factors Influencing the Results of COVID-19 Case Outreach-Results From a California Case Investigation/Contact Tracing Program.,01/01/2021,07/31/2021,9391.0,6161.0,,2264.0,3872.0,,,,6723.0,,,,,,,35.3,,,,,,,,6000.0,4188.0,,,0.97,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,,,,,36.7,,,,600.0,,,,
53,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",05/01/2020,09/30/2020,26817.0,12068.0,,1690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.",10/11/2020,11/14/2020,1238.0,,,597.0,,,,,,,,,,,,,,,,66.0,,,,,,1238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.",08/17/2020,12/31/2020,11683.0,8878.0,76.0,62.0,,,,,,,,,,1.24,,0.0,,,,522.0,,5102.0,,11486.0,7573.0,,,,,,1.24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,
56,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,04/04/2020,05/19/2020,1686.0,826.0,,737.0,18.0,,,,959.0,,,,,,,108.0,,,,,,,,2437.0,,,,,,,2.0,,,,,,192.0,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,
57,Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.,04/04/2020,5/19/2020,,,,,,,,,,,,,,,,,,,,,,687.0,,,,,,,,,,,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.,06/01/2020,12/02/2021,1450000.0,,,,,,,24.0,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.,06/01/2020,12/31/2021,,,,,,,,,,,,,,,,48.0,,,,,,,,540000.0,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,2500.0,,,,
60,"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.",4/13/2020,6/08/2020,1633.0,1394.0,,404.0,,,,48.0,,,,,,144.0,,24.0,,,,120.0,,,,1214.0,,,,,,,,,1017.0,,,,,,,144.0,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",08/01/2021,09/25/2021,,6558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",09/26/2021,11/20/2021,,,,9242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",11/25/2020,1/19/2021,6559.0,5510.0,84.0,4959.0,,,,24.0,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,
64,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",8/01/2021,9/25/2021,7901.0,11003.0,83.0,5246.0,,,,48.0,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,72.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,
65,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.",9/26/2021,11/20/2021,14106.0,,78.0,,,,,48.0,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,
66,Trading-off privacy and utility: the Washington State experience assessing the performance of a public health digital exposure notification system for  coronavirus disease 2019.,11/15/2020,03/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,742336.0,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,76936.0,76936.0
67,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.",08/01/2020,08/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000000.0,,,,,,,,,,,,
68,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.",12/27/2020,4/24/2021,65470.0,24450.0,37.3,,2412.0,,,,37422.0,,,,,,,96.0,,,,,,13117.0,38.5,34083.0,,,,,,,,,22240.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445000.0,,64011.0,,,,,,,800.0,,,,
69,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",6/15/2020,06/29/2020,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",6/30/2020,07/30/2020,58570.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,
71,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.",6/30/2020,7/30/2020,,,,,,,,,51522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,11/29/2020,3/13/2021,,8473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,WA Notify: the planning and implementation of a Bluetooth exposure notification tool for COVID-19 pandemic response in Washington State.,12/30/2020,04/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,
